                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.15246,                0.64535,                      1,                0.55942,               0.070357,              0.0032937,              0.0032937
                      1,                0.10251,                0.89535,                      1,                 0.3919,               0.040138,              0.0064083,              0.0064083
                      2,                0.03489,                0.70349,                      1,                0.53353,              0.0096998,              0.0093029,              0.0093029
                      3,                0.03742,                0.85465,                      1,                0.40591,                0.00901,                0.00901,                0.00901
                      4,                0.01079,                 0.9593,                      1,                 0.3159,                0.00901,                0.00901,                0.00901
                      5,                0.00517,                 0.9186,                      1,                0.33926,                0.00868,                0.00868,                0.00868
                      6,                0.00665,                0.93023,                      1,                0.34306,                0.00835,                0.00835,                0.00835
                      7,                 0.0045,                0.70349,                      1,                 0.5252,                0.00802,                0.00802,                0.00802
                      8,                 0.0057,                0.95349,                      1,                0.31879,                0.00769,                0.00769,                0.00769
                      9,                0.00338,                0.97674,                      1,                0.29883,                0.00736,                0.00736,                0.00736
